T	1.01
k	43
113.05 	22.85 	19 
113.05 	22.90 	7 
113.05 	22.95 	12 
113.05 	23.00 	2 
113.05 	23.05 	2 
113.05 	23.10 	-17 
113.05 	23.15 	-16 
113.05 	23.20 	20 
113.05 	23.25 	-17 
113.05 	23.30 	18 
113.05 	23.35 	-4 
113.05 	23.40 	2 
113.05 	23.45 	2 
113.05 	23.50 	-10 
113.05 	23.55 	1 
113.05 	23.60 	8 
113.10 	22.40 	-18 
113.10 	22.45 	13 
113.10 	22.50 	19 
113.10 	22.55 	-5 
113.10 	22.60 	7 
113.10 	22.65 	-4 
113.10 	22.70 	-19 
113.10 	22.75 	-16 
113.10 	22.80 	-6 
113.10 	22.85 	-1 
113.10 	22.90 	-14 
113.10 	22.95 	15 
113.10 	23.00 	18 
113.10 	23.05 	15 
113.10 	23.10 	1 
113.10 	23.15 	-7 
113.10 	23.20 	-10 
113.10 	23.25 	-5 
113.10 	23.30 	-4 
113.10 	23.35 	11 
113.10 	23.40 	9 
113.10 	23.45 	-3 
113.10 	23.50 	11 
113.10 	23.55 	7 
113.10 	23.60 	-17 
113.15 	22.40 	2 
113.15 	22.45 	-1 
113.15 	22.50 	-18 
113.15 	22.55 	11 
113.15 	22.60 	-19 
113.15 	22.65 	0 
113.15 	22.70 	16 
113.15 	22.75 	20 
113.15 	22.80 	4 
113.15 	22.85 	-9 
113.15 	22.90 	20 
113.15 	22.95 	-1 
113.15 	23.00 	17 
113.15 	23.05 	-20 
113.15 	23.10 	-19 
113.15 	23.15 	19 
113.15 	23.20 	-7 
113.15 	23.25 	-11 
113.15 	23.30 	-10 
113.15 	23.35 	5 
113.15 	23.40 	-17 
113.15 	23.45 	15 
113.15 	23.50 	14 
113.15 	23.55 	4 
113.15 	23.60 	-5 
113.20 	22.40 	7 
113.20 	22.45 	-19 
113.20 	22.50 	18 
113.20 	22.55 	7 
113.20 	22.60 	13 
113.20 	22.65 	-3 
113.20 	22.70 	-7 
113.20 	22.75 	-8 
113.20 	22.80 	-17 
113.20 	22.85 	-18 
113.20 	22.90 	6 
113.20 	22.95 	-5 
113.20 	23.00 	-8 
113.20 	23.05 	2 
113.20 	23.10 	-5 
113.20 	23.15 	16 
113.20 	23.20 	-12 
113.20 	23.25 	-13 
113.20 	23.30 	-3 
113.20 	23.35 	-19 
113.20 	23.40 	-15 
113.20 	23.45 	3 
113.20 	23.50 	18 
113.20 	23.55 	-8 
113.20 	23.60 	-4 
113.25 	22.40 	-10 
113.25 	22.45 	-17 
113.25 	22.50 	12 
113.25 	22.55 	11 
113.25 	22.60 	-2 
113.25 	22.65 	-6 
113.25 	22.70 	13 
113.25 	22.75 	-2 
113.25 	22.80 	16 
113.25 	22.85 	20 
113.25 	22.90 	15 
113.25 	22.95 	-18 
113.25 	23.00 	-3 
113.25 	23.05 	-12 
113.25 	23.10 	12 
113.25 	23.15 	2 
113.25 	23.20 	-9 
113.25 	23.25 	5 
113.25 	23.30 	-17 
113.25 	23.35 	17 
113.25 	23.40 	-9 
113.25 	23.45 	16 
113.25 	23.50 	-3 
113.25 	23.55 	-7 
113.25 	23.60 	18 
113.30 	22.40 	7 
113.30 	22.45 	18 
113.30 	22.50 	-18 
113.30 	22.55 	-20 
113.30 	22.60 	-2 
113.30 	22.65 	20 
113.30 	22.70 	-8 
113.30 	22.75 	-11 
113.30 	22.80 	-14 
113.30 	22.85 	-17 
113.30 	22.90 	-17 
113.30 	22.95 	7 
113.30 	23.00 	3 
113.30 	23.05 	-13 
113.30 	23.10 	-12 
113.30 	23.15 	-17 
113.30 	23.20 	17 
113.30 	23.25 	-13 
113.30 	23.30 	-14 
113.30 	23.35 	-9 
113.30 	23.40 	-14 
113.30 	23.45 	-3 
113.30 	23.50 	-15 
113.30 	23.55 	-12 
113.30 	23.60 	-16 
113.35 	22.40 	16 
113.35 	22.45 	14 
113.35 	22.50 	6 
113.35 	22.55 	5 
113.35 	22.60 	10 
113.35 	22.65 	12 
113.35 	22.70 	-1 
113.35 	22.75 	9 
113.35 	22.80 	8 
113.35 	22.85 	16 
113.35 	22.90 	4 
113.35 	22.95 	-9 
113.35 	23.00 	0 
113.35 	23.05 	-3 
113.35 	23.10 	5 
113.35 	23.15 	15 
113.35 	23.20 	20 
113.35 	23.25 	0 
113.35 	23.30 	-11 
113.35 	23.35 	16 
113.35 	23.40 	18 
113.35 	23.45 	7 
113.35 	23.50 	-12 
113.35 	23.55 	-4 
113.35 	23.60 	-5 
113.40 	22.40 	2 
113.40 	22.45 	4 
113.40 	22.50 	-17 
113.40 	22.55 	16 
113.40 	22.60 	-7 
113.40 	22.65 	0 
113.40 	22.70 	-2 
113.40 	22.75 	7 
113.40 	22.80 	-9 
113.40 	22.85 	4 
113.40 	22.90 	-4 
113.40 	22.95 	-18 
113.40 	23.00 	6 
113.40 	23.05 	4 
113.40 	23.10 	3 
113.40 	23.15 	3 
113.40 	23.20 	17 
113.40 	23.25 	-9 
113.40 	23.30 	19 
113.40 	23.35 	0 
113.40 	23.40 	15 
113.40 	23.45 	5 
113.40 	23.50 	14 
113.40 	23.55 	18 
113.40 	23.60 	-19 
113.45 	22.40 	5 
113.45 	22.45 	-4 
113.45 	22.50 	-19 
113.45 	22.55 	-6 
113.45 	22.60 	-9 
113.45 	22.65 	-5 
113.45 	22.70 	-19 
113.45 	22.75 	-20 
113.45 	22.80 	19 
113.45 	22.85 	10 
113.45 	22.90 	15 
113.45 	22.95 	-17 
113.45 	23.00 	7 
113.45 	23.05 	-1 
113.45 	23.10 	16 
113.45 	23.15 	1 
113.45 	23.20 	-17 
113.45 	23.25 	-6 
113.45 	23.30 	-7 
113.45 	23.35 	-5 
113.45 	23.40 	-18 
113.45 	23.45 	18 
113.45 	23.50 	16 
113.45 	23.55 	4 
113.45 	23.60 	11 
113.50 	22.40 	11 
113.50 	22.45 	-12 
113.50 	22.50 	-11 
113.50 	22.55 	16 
113.50 	22.60 	-15 
113.50 	22.65 	-7 
113.50 	22.70 	-20 
113.50 	22.75 	-10 
113.50 	22.80 	-8 
113.50 	22.85 	0 
113.50 	22.90 	-5 
113.50 	22.95 	-14 
113.50 	23.00 	-15 
113.50 	23.05 	-10 
113.50 	23.10 	10 
113.50 	23.15 	18 
113.50 	23.20 	-6 
113.50 	23.25 	-8 
113.50 	23.30 	-3 
113.50 	23.35 	10 
113.50 	23.40 	-11 
113.50 	23.45 	16 
113.50 	23.50 	1 
113.50 	23.55 	-13 
113.50 	23.60 	-11 
113.55 	22.40 	4 
113.55 	22.45 	-7 
113.55 	22.50 	7 
113.55 	22.55 	5 
113.55 	22.60 	-2 
113.55 	22.65 	13 
113.55 	22.70 	-8 
113.55 	22.75 	-13 
113.55 	22.80 	4 
113.55 	22.85 	-20 
113.55 	22.90 	19 
113.55 	22.95 	-2 
113.55 	23.00 	-11 
113.55 	23.05 	7 
113.55 	23.10 	-3 
113.55 	23.15 	4 
113.55 	23.20 	5 
113.55 	23.25 	6 
113.55 	23.30 	1 
113.55 	23.35 	-14 
113.55 	23.40 	-10 
113.55 	23.45 	-4 
113.55 	23.50 	-2 
113.55 	23.55 	17 
113.55 	23.60 	12 
113.60 	22.40 	-15 
113.60 	22.45 	16 
113.60 	22.50 	15 
113.60 	22.55 	13 
113.60 	22.60 	-17 
113.60 	22.65 	-13 
113.60 	22.70 	5 
113.60 	22.75 	-10 
113.60 	22.80 	-18 
113.60 	22.85 	5 
113.60 	22.90 	16 
113.60 	22.95 	-18 
113.60 	23.00 	-4 
113.60 	23.05 	8 
113.60 	23.10 	-3 
113.60 	23.15 	8 
113.60 	23.20 	-5 
113.60 	23.25 	0 
113.60 	23.30 	-10 
113.60 	23.35 	4 
113.60 	23.40 	-1 
113.60 	23.45 	5 
113.60 	23.50 	-10 
113.60 	23.55 	-17 
113.60 	23.60 	-15 
113.65 	22.40 	1 
113.65 	22.45 	11 
113.65 	22.50 	19 
113.65 	22.55 	14 
113.65 	22.60 	16 
113.65 	22.65 	19 
113.65 	22.70 	10 
113.65 	22.75 	-5 
113.65 	22.80 	12 
113.65 	22.85 	-15 
113.65 	22.90 	11 
113.65 	22.95 	-20 
113.65 	23.00 	-8 
113.65 	23.05 	13 
113.65 	23.10 	-10 
113.65 	23.15 	-20 
113.65 	23.20 	7 
113.65 	23.25 	15 
113.65 	23.30 	-7 
113.65 	23.35 	-18 
113.65 	23.40 	-19 
113.65 	23.45 	2 
113.65 	23.50 	-5 
113.65 	23.55 	-7 
113.65 	23.60 	-10 
113.70 	22.40 	2 
113.70 	22.45 	-7 
113.70 	22.50 	12 
113.70 	22.55 	-7 
113.70 	22.60 	-12 
113.70 	22.65 	-7 
113.70 	22.70 	16 
113.70 	22.75 	1 
113.70 	22.80 	-10 
113.70 	22.85 	20 
113.70 	22.90 	4 
113.70 	22.95 	-14 
113.70 	23.00 	19 
113.70 	23.05 	-15 
113.70 	23.10 	4 
113.70 	23.15 	-15 
113.70 	23.20 	5 
113.70 	23.25 	-16 
113.70 	23.30 	-9 
113.70 	23.35 	9 
113.70 	23.40 	7 
113.70 	23.45 	12 
113.70 	23.50 	6 
113.70 	23.55 	19 
113.70 	23.60 	-1 
113.75 	22.40 	-17 
113.75 	22.45 	-15 
113.75 	22.50 	10 
113.75 	22.55 	-16 
113.75 	22.60 	-18 
113.75 	22.65 	-16 
113.75 	22.70 	2 
113.75 	22.75 	-1 
113.75 	22.80 	-2 
113.75 	22.85 	-19 
113.75 	22.90 	-16 
113.75 	22.95 	6 
113.75 	23.00 	-16 
113.75 	23.05 	18 
113.75 	23.10 	-16 
113.75 	23.15 	-3 
113.75 	23.20 	-3 
113.75 	23.25 	-3 
113.75 	23.30 	-5 
113.75 	23.35 	-6 
113.75 	23.40 	-2 
113.75 	23.45 	-7 
113.75 	23.50 	-16 
113.75 	23.55 	7 
113.75 	23.60 	18 
113.80 	22.40 	7 
113.80 	22.45 	-19 
113.80 	22.50 	-1 
113.80 	22.55 	-2 
113.80 	22.60 	10 
113.80 	22.65 	4 
113.80 	22.70 	5 
113.80 	22.75 	8 
113.80 	22.80 	-6 
113.80 	22.85 	0 
113.80 	22.90 	3 
113.80 	22.95 	-13 
113.80 	23.00 	16 
113.80 	23.05 	-9 
113.80 	23.10 	-2 
113.80 	23.15 	-15 
113.80 	23.20 	-13 
113.80 	23.25 	-20 
113.80 	23.30 	10 
113.80 	23.35 	11 
113.80 	23.40 	13 
113.80 	23.45 	-20 
113.80 	23.50 	-18 
113.80 	23.55 	-13 
113.80 	23.60 	-19 
113.85 	22.40 	-2 
113.85 	22.45 	6 
113.85 	22.50 	8 
113.85 	22.55 	17 
113.85 	22.60 	-14 
113.85 	22.65 	3 
113.85 	22.70 	16 
113.85 	22.75 	-9 
113.85 	22.80 	-12 
113.85 	22.85 	-14 
113.85 	22.90 	-14 
113.85 	22.95 	-6 
113.85 	23.00 	9 
113.85 	23.05 	-1 
113.85 	23.10 	-7 
113.85 	23.15 	-10 
113.85 	23.20 	-10 
113.85 	23.25 	-19 
113.85 	23.30 	-15 
113.85 	23.35 	6 
113.85 	23.40 	11 
113.85 	23.45 	1 
113.85 	23.50 	-13 
113.85 	23.55 	-4 
113.85 	23.60 	19 
113.90 	22.40 	20 
113.90 	22.45 	16 
113.90 	22.50 	9 
113.90 	22.55 	-18 
113.90 	22.60 	16 
113.90 	22.65 	-12 
113.90 	22.70 	13 
113.90 	22.75 	14 
113.90 	22.80 	20 
113.90 	22.85 	11 
113.90 	22.90 	6 
113.90 	22.95 	17 
113.90 	23.00 	-20 
113.90 	23.05 	9 
113.90 	23.10 	-3 
113.90 	23.15 	-2 
113.90 	23.20 	8 
113.90 	23.25 	-13 
113.90 	23.30 	-3 
113.90 	23.35 	-16 
113.90 	23.40 	15 
113.90 	23.45 	-10 
113.90 	23.50 	-13 
113.90 	23.55 	0 
113.90 	23.60 	-7 
113.95 	22.40 	18 
113.95 	22.45 	-19 
113.95 	22.50 	-13 
113.95 	22.55 	-11 
113.95 	22.60 	17 
113.95 	22.65 	4 
113.95 	22.70 	0 
113.95 	22.75 	8 
113.95 	22.80 	9 
113.95 	22.85 	-11 
113.95 	22.90 	-18 
113.95 	22.95 	-8 
113.95 	23.00 	-1 
113.95 	23.05 	-6 
113.95 	23.10 	-4 
113.95 	23.15 	15 
113.95 	23.20 	2 
113.95 	23.25 	19 
113.95 	23.30 	13 
113.95 	23.35 	14 
113.95 	23.40 	0 
113.95 	23.45 	-1 
113.95 	23.50 	4 
113.95 	23.55 	-16 
113.95 	23.60 	4 
114.00 	22.40 	20 
114.00 	22.45 	3 
114.00 	22.50 	-7 
114.00 	22.55 	-4 
114.00 	22.60 	19 
114.00 	22.65 	19 
114.00 	22.70 	8 
114.00 	22.75 	-18 
114.00 	22.80 	-4 
114.00 	22.85 	4 
114.00 	22.90 	-11 
114.00 	22.95 	14 
114.00 	23.00 	-19 
114.00 	23.05 	10 
114.00 	23.10 	-9 
114.00 	23.15 	0 
114.00 	23.20 	-17 
114.00 	23.25 	13 
114.00 	23.30 	12 
114.00 	23.35 	-15 
114.00 	23.40 	16 
114.00 	23.45 	-15 
114.00 	23.50 	10 
114.00 	23.55 	-12 
114.00 	23.60 	-20 
114.05 	22.40 	14 
114.05 	22.45 	7 
114.05 	22.50 	-9 
114.05 	22.55 	3 
114.05 	22.60 	17 
114.05 	22.65 	6 
114.05 	22.70 	15 
114.05 	22.75 	-9 
114.05 	22.80 	-2 
114.05 	22.85 	6 
114.05 	22.90 	1 
114.05 	22.95 	6 
114.05 	23.00 	15 
114.05 	23.05 	-11 
114.05 	23.10 	-16 
114.05 	23.15 	15 
114.05 	23.20 	-16 
114.05 	23.25 	5 
114.05 	23.30 	1 
114.05 	23.35 	-9 
114.05 	23.40 	8 
114.05 	23.45 	11 
114.05 	23.50 	18 
114.05 	23.55 	18 
114.05 	23.60 	-10 
114.10 	22.40 	-14 
114.10 	22.45 	9 
114.10 	22.50 	10 
114.10 	22.55 	12 
114.10 	22.60 	19 
114.10 	22.65 	8 
114.10 	22.70 	18 
114.10 	22.75 	16 
114.10 	22.80 	0 
114.10 	22.85 	-15 
114.10 	22.90 	10 
114.10 	22.95 	-6 
114.10 	23.00 	11 
114.10 	23.05 	-8 
114.10 	23.10 	-17 
114.10 	23.15 	-13 
114.10 	23.20 	8 
114.10 	23.25 	-3 
114.10 	23.30 	-14 
114.10 	23.35 	4 
114.10 	23.40 	-19 
114.10 	23.45 	-19 
114.10 	23.50 	-18 
114.10 	23.55 	5 
114.10 	23.60 	-12 
114.15 	22.40 	-11 
114.15 	22.45 	0 
114.15 	22.50 	-17 
114.15 	22.55 	14 
114.15 	22.60 	-10 
114.15 	22.65 	12 
114.15 	22.70 	-1 
114.15 	22.75 	3 
114.15 	22.80 	-15 
114.15 	22.85 	-2 
114.15 	22.90 	-6 
114.15 	22.95 	14 
114.15 	23.00 	-20 
114.15 	23.05 	19 
114.15 	23.10 	0 
114.15 	23.15 	-19 
114.15 	23.20 	8 
114.15 	23.25 	-4 
114.15 	23.30 	-4 
114.15 	23.35 	5 
114.15 	23.40 	3 
114.15 	23.45 	6 
114.15 	23.50 	17 
114.15 	23.55 	-2 
114.15 	23.60 	9 
114.20 	22.40 	9 
114.20 	22.45 	-9 
114.20 	22.50 	-19 
114.20 	22.55 	2 
114.20 	22.60 	19 
114.20 	22.65 	-12 
114.20 	22.70 	-8 
114.20 	22.75 	-19 
114.20 	22.80 	-13 
114.20 	22.85 	8 
114.20 	22.90 	0 
114.20 	22.95 	-10 
114.20 	23.00 	4 
114.20 	23.05 	-19 
114.20 	23.10 	17 
114.20 	23.15 	3 
114.20 	23.20 	8 
114.20 	23.25 	-15 
114.20 	23.30 	15 
114.20 	23.35 	-14 
114.20 	23.40 	0 
114.20 	23.45 	-5 
114.20 	23.50 	17 
114.20 	23.55 	-10 
114.20 	23.60 	17 
114.25 	22.40 	-2 
114.25 	22.45 	17 
114.25 	22.50 	-6 
114.25 	22.55 	12 
114.25 	22.60 	16 
114.25 	22.65 	11 
114.25 	22.70 	8 
114.25 	22.75 	17 
114.25 	22.80 	-11 
114.25 	22.85 	18 
114.25 	22.90 	-2 
114.25 	22.95 	-2 
114.25 	23.00 	4 
114.25 	23.05 	-20 
114.25 	23.10 	20 
114.25 	23.15 	-20 
114.25 	23.20 	1 
114.25 	23.25 	18 
114.25 	23.30 	-2 
114.25 	23.35 	-4 
114.25 	23.40 	-20 
114.25 	23.45 	1 
114.25 	23.50 	2 
114.25 	23.55 	-11 
114.25 	23.60 	-15 
114.30 	22.40 	15 
114.30 	22.45 	-8 
114.30 	22.50 	0 
114.30 	22.55 	-2 
114.30 	22.60 	20 
114.30 	22.65 	-4 
114.30 	22.70 	-13 
114.30 	22.75 	19 
114.30 	22.80 	2 
114.30 	22.85 	-3 
114.30 	22.90 	3 
114.30 	22.95 	17 
114.30 	23.00 	-10 
114.30 	23.05 	16 
114.30 	23.10 	-7 
114.30 	23.15 	17 
114.30 	23.20 	4 
114.30 	23.25 	-3 
114.30 	23.30 	-18 
114.30 	23.35 	-1 
114.30 	23.40 	-14 
114.30 	23.45 	10 
114.30 	23.50 	10 
114.30 	23.55 	11 
114.30 	23.60 	-2 
114.35 	22.40 	-18 
114.35 	22.45 	-11 
114.35 	22.50 	-17 
114.35 	22.55 	3 
114.35 	22.60 	12 
114.35 	22.65 	5 
114.35 	22.70 	9 
114.35 	22.75 	8 
114.35 	22.80 	-20 
114.35 	22.85 	10 
114.35 	22.90 	-2 
114.35 	22.95 	4 
114.35 	23.00 	-5 
114.35 	23.05 	-2 
114.35 	23.10 	-8 
114.35 	23.15 	-19 
114.35 	23.20 	14 
114.35 	23.25 	7 
114.35 	23.30 	0 
114.35 	23.35 	-2 
114.35 	23.40 	-4 
114.35 	23.45 	19 
114.35 	23.50 	-8 
114.35 	23.55 	-20 
114.35 	23.60 	3 
114.40 	22.40 	-15 
114.40 	22.45 	-18 
114.40 	22.50 	14 
114.40 	22.55 	-15 
114.40 	22.60 	16 
114.40 	22.65 	16 
114.40 	22.70 	12 
114.40 	22.75 	16 
114.40 	22.80 	2 
114.40 	22.85 	-1 
114.40 	22.90 	-11 
114.40 	22.95 	-16 
114.40 	23.00 	5 
114.40 	23.05 	8 
114.40 	23.10 	-14 
114.40 	23.15 	-13 
114.40 	23.20 	-18 
114.40 	23.25 	11 
114.40 	23.30 	16 
114.40 	23.35 	-19 
114.40 	23.40 	-10 
114.40 	23.45 	-18 
114.40 	23.50 	10 
114.40 	23.55 	4 
114.40 	23.60 	5 
114.45 	22.40 	14 
114.45 	22.45 	5 
114.45 	22.50 	-12 
114.45 	22.55 	12 
114.45 	22.60 	13 
114.45 	22.65 	17 
114.45 	22.70 	-5 
114.45 	22.75 	13 
114.45 	22.80 	20 
114.45 	22.85 	3 
114.45 	22.90 	-3 
114.45 	22.95 	-10 
114.45 	23.00 	-2 
114.45 	23.05 	11 
114.45 	23.10 	-11 
114.45 	23.15 	-1 
114.45 	23.20 	4 
114.45 	23.25 	-17 
114.45 	23.30 	-20 
114.45 	23.35 	-8 
114.45 	23.40 	-13 
114.45 	23.45 	13 
114.45 	23.50 	-2 
114.45 	23.55 	-15 
114.45 	23.60 	0 
114.50 	22.40 	0 
114.50 	22.45 	-5 
114.50 	22.50 	3 
114.50 	22.55 	13 
114.50 	22.60 	11 
114.50 	22.65 	3 
114.50 	22.70 	-8 
114.50 	22.75 	6 
114.50 	22.80 	-18 
114.50 	22.85 	-19 
114.50 	22.90 	-4 
114.50 	22.95 	14 
114.50 	23.00 	-7 
114.50 	23.05 	-4 
114.50 	23.10 	-15 
114.50 	23.15 	-3 
114.50 	23.20 	12 
114.50 	23.25 	-6 
114.50 	23.30 	18 
114.50 	23.35 	18 
114.50 	23.40 	19 
114.50 	23.45 	18 
114.50 	23.50 	14 
114.50 	23.55 	16 
114.50 	23.60 	-1 
114.55 	22.40 	-7 
114.55 	22.45 	3 
114.55 	22.50 	-9 
114.55 	22.55 	-20 
114.55 	22.60 	-9 
114.55 	22.65 	8 
114.55 	22.70 	9 
114.55 	22.75 	13 
114.55 	22.80 	8 
114.55 	22.85 	8 
114.55 	22.90 	-9 
114.55 	22.95 	-12 
114.55 	23.00 	6 
114.55 	23.05 	19 
114.55 	23.10 	16 
114.55 	23.15 	-8 
114.55 	23.20 	8 
114.55 	23.25 	6 
114.55 	23.30 	-18 
114.55 	23.35 	1 
114.55 	23.40 	-16 
114.55 	23.45 	0 
114.55 	23.50 	5 
114.55 	23.55 	18 
114.55 	23.60 	13 
