t	m1
373.000000	21.464488
374.000000	21.091409
375.000000	20.730178
376.000000	20.396165
377.000000	20.063347
378.000000	19.758633
379.000000	19.467291
380.000000	19.185777
381.000000	18.927172
382.000000	18.680999
383.000000	18.453587
384.000000	18.245158
385.000000	18.046872
386.000000	17.866741
387.000000	17.706217
388.000000	17.563909
389.000000	17.435631
390.000000	17.324954
391.000000	17.232496
392.000000	17.156006
393.000000	17.093296
394.000000	17.051083
395.000000	17.028400
396.000000	17.018167
397.000000	17.018167
398.000000	17.018167
399.000000	17.018167
400.000000	17.018167
401.000000	17.018167
402.000000	17.018167
403.000000	17.018167
404.000000	17.018167
405.000000	17.018167
406.000000	17.018167
407.000000	17.018167
408.000000	17.018167
409.000000	17.018167
410.000000	17.018167
411.000000	17.018167
412.000000	17.018167
413.000000	17.018167
414.000000	17.018167
415.000000	17.018167
416.000000	17.018167
417.000000	17.018167
418.000000	17.018167
419.000000	17.018167
420.000000	17.018167
421.000000	17.018167
422.000000	17.018167
423.000000	17.018167
424.000000	17.018167
425.000000	17.018167
426.000000	17.018167
427.000000	17.018167
428.000000	17.018167
429.000000	17.018167
430.000000	17.018167
431.000000	17.018167
432.000000	17.018167
433.000000	17.018167
434.000000	17.018167
435.000000	17.018167
436.000000	17.018167
437.000000	17.018167
438.000000	17.018167
439.000000	17.018167
440.000000	17.018167
441.000000	17.018167
442.000000	17.018167
443.000000	17.018167
444.000000	17.018167
445.000000	17.018167
446.000000	17.018167
447.000000	17.018167
448.000000	17.018167
449.000000	17.018167
450.000000	17.018167
451.000000	17.018167
452.000000	17.018167
453.000000	17.018167
454.000000	17.018167
455.000000	17.018167
456.000000	17.018167
457.000000	17.018167
458.000000	17.018167
459.000000	17.018167
460.000000	17.018167
461.000000	17.018167
462.000000	17.018167
463.000000	17.018167
464.000000	17.018167
465.000000	17.018167
466.000000	17.018167
467.000000	17.018167
468.000000	17.018167
469.000000	17.018167
470.000000	17.018167
471.000000	17.018167
472.000000	17.018167
473.000000	17.018167
474.000000	17.018167
475.000000	17.018167
476.000000	17.018167
477.000000	17.018167
478.000000	17.018167
479.000000	17.018167
480.000000	17.018167
481.000000	17.018167
482.000000	17.018167
483.000000	17.018167
484.000000	17.018167
485.000000	17.018167
486.000000	17.018167
487.000000	17.018167
488.000000	17.018167
489.000000	17.018167
490.000000	17.018167
491.000000	17.018167
492.000000	17.018167
493.000000	17.018167
494.000000	17.018167
495.000000	17.018167
496.000000	17.018167
497.000000	17.018167
498.000000	17.018167
499.000000	17.018167
500.000000	17.018167
501.000000	17.018167
502.000000	17.018167
503.000000	17.018167
504.000000	17.018167
505.000000	17.018167
506.000000	17.018167
507.000000	17.018167
508.000000	17.018167
509.000000	17.018167
510.000000	17.018167
511.000000	17.018167
512.000000	17.018167
513.000000	17.018167
514.000000	17.018167
515.000000	17.018167
516.000000	17.018167
517.000000	17.018167
518.000000	17.018167
519.000000	17.018167
520.000000	17.018167
521.000000	17.018167
522.000000	17.018167
523.000000	17.018167
524.000000	17.018167
525.000000	17.018167
526.000000	17.018167
527.000000	17.018167
528.000000	92.318993
529.000000	92.318993
530.000000	92.318993
531.000000	92.318993
532.000000	92.318993
533.000000	92.318993
534.000000	92.318993
535.000000	92.318993
536.000000	92.318993
537.000000	92.318993
538.000000	92.318993
539.000000	92.318993
540.000000	92.057652
541.000000	91.457878
542.000000	90.842414
543.000000	90.212257
544.000000	89.569861
545.000000	88.914650
546.000000	88.247187
547.000000	87.566948
548.000000	86.876191
549.000000	86.174916
550.000000	85.463124
551.000000	84.742194
552.000000	84.010859
553.000000	83.269978
554.000000	82.522406
555.000000	81.764998
556.000000	80.999586
557.000000	80.226369
558.000000	79.445749
559.000000	78.658193
560.000000	77.865498
561.000000	77.064931
562.000000	76.258169
563.000000	75.445373
564.000000	74.628513
565.000000	73.806129
566.000000	72.978090
567.000000	72.147423
568.000000	71.311615
569.000000	70.471807
570.000000	69.629361
571.000000	68.782927
572.000000	67.933399
573.000000	67.082699
574.000000	66.227486
575.000000	65.371366
576.000000	64.515012
577.000000	63.656058
578.000000	62.796952
579.000000	61.936241
580.000000	61.075996
581.000000	60.214997
582.000000	59.354809
583.000000	58.496139
584.000000	57.636306
585.000000	56.779419
586.000000	55.922587
587.000000	55.070813
588.000000	54.217293
589.000000	53.369189
590.000000	52.522556
591.000000	51.679521
592.000000	50.839850
593.000000	50.005240
594.000000	49.172391
595.000000	48.344829
596.000000	47.523241
597.000000	46.704480
598.000000	45.894079
599.000000	45.087083
600.000000	44.286825
601.000000	43.479169
602.000000	42.672753
603.000000	41.888502
604.000000	41.115776
605.000000	40.351275
606.000000	39.593309
607.000000	38.845368
608.000000	38.102923
609.000000	37.373030
610.000000	36.648662
611.000000	35.935527
612.000000	35.230279
613.000000	34.536263
614.000000	33.851127
615.000000	33.175860
616.000000	32.513572
617.000000	31.860621
618.000000	31.219502
619.000000	30.588849
620.000000	29.970752
621.000000	29.363244
622.000000	28.769032
623.000000	28.186365
624.000000	27.616366
625.000000	27.064769
626.000000	26.520128
627.000000	25.989766
628.000000	25.472261
629.000000	24.969303
630.000000	24.479143
631.000000	24.003761
632.000000	23.543188
633.000000	23.095302
634.000000	22.662867
635.000000	22.245855
636.000000	21.843593
637.000000	21.457302
638.000000	21.084358
639.000000	20.727996
640.000000	20.389355
641.000000	20.056648
642.000000	19.752046
643.000000	19.460814
644.000000	19.179436
645.000000	18.921164
646.000000	18.676465
647.000000	18.445709
648.000000	18.238225
649.000000	18.043060
650.000000	17.865671
651.000000	17.702716
652.000000	17.556900
653.000000	17.429252
654.000000	17.320399
655.000000	17.223839
656.000000	17.148399
657.000000	17.089071
658.000000	17.046963
659.000000	17.022585
660.000000	17.012828
661.000000	17.012828
662.000000	17.012828
663.000000	17.012828
664.000000	17.012828
665.000000	17.012828
666.000000	17.012828
667.000000	17.012828
668.000000	17.012828
669.000000	17.012828
670.000000	17.012828
671.000000	17.012828
672.000000	17.012828
673.000000	17.012828
674.000000	17.012828
675.000000	17.012828
676.000000	17.012828
677.000000	17.012828
678.000000	17.012828
679.000000	17.012828
680.000000	17.012828
681.000000	17.012828
682.000000	17.012828
683.000000	17.012828
684.000000	17.012828
685.000000	17.012828
686.000000	17.012828
687.000000	17.012828
688.000000	17.012828
689.000000	17.012828
690.000000	17.012828
691.000000	17.012828
692.000000	17.012828
693.000000	17.012828
694.000000	17.012828
695.000000	17.012828
696.000000	17.012828
697.000000	17.012828
698.000000	17.012828
699.000000	17.012828
700.000000	17.012828
701.000000	17.012828
702.000000	17.012828
703.000000	17.012828
704.000000	17.012828
705.000000	17.012828
706.000000	17.012828
707.000000	17.012828
708.000000	17.012828
709.000000	17.012828
710.000000	17.012828
711.000000	17.012828
712.000000	17.012828
713.000000	17.012828
714.000000	17.012828
715.000000	17.012828
716.000000	17.012828
717.000000	17.012828
718.000000	17.012828
719.000000	17.012828
720.000000	17.012828
721.000000	17.012828
722.000000	17.012828
723.000000	17.012828
724.000000	17.012828
725.000000	17.012828
726.000000	17.012828
727.000000	17.012828
728.000000	17.012828
729.000000	17.012828
730.000000	17.012828
731.000000	17.012828
732.000000	17.012828
733.000000	17.012828
734.000000	17.012828
735.000000	17.012828
736.000000	17.012828
737.000000	17.012828
738.000000	17.012828
739.000000	17.012828
740.000000	17.012828
741.000000	17.012828
742.000000	17.012828
743.000000	17.012828
744.000000	17.012828
745.000000	17.012828
746.000000	17.012828
747.000000	17.012828
748.000000	17.012828
749.000000	17.012828
750.000000	17.012828
751.000000	17.012828
752.000000	17.012828
753.000000	17.012828
754.000000	17.012828
755.000000	17.012828
756.000000	17.012828
757.000000	17.012828
758.000000	17.012828
759.000000	17.012828
760.000000	17.012828
761.000000	17.012828
762.000000	17.012828
763.000000	17.012828
764.000000	17.012828
765.000000	17.012828
766.000000	17.012828
767.000000	17.012828
768.000000	17.012828
769.000000	17.012828
770.000000	17.012828
771.000000	17.012828
772.000000	17.012828
773.000000	17.012828
774.000000	17.012828
775.000000	17.012828
776.000000	17.012828
777.000000	17.012828
778.000000	17.012828
779.000000	17.012828
780.000000	17.012828
781.000000	17.012828
782.000000	17.012828
783.000000	17.012828
784.000000	17.012828
785.000000	17.012828
786.000000	17.012828
787.000000	17.012828
788.000000	17.012828
789.000000	17.012828
790.000000	17.012828
791.000000	17.012828
792.000000	92.318993
793.000000	92.318993
794.000000	92.318993
795.000000	92.318993
796.000000	92.318993
797.000000	92.318993
798.000000	92.318993
799.000000	92.318993
800.000000	92.318993
801.000000	92.318993
802.000000	92.318993
803.000000	92.318993
804.000000	92.028065
805.000000	91.428468
806.000000	90.813192
807.000000	90.183227
808.000000	89.541025
809.000000	88.886017
810.000000	88.218759
811.000000	87.538733
812.000000	86.848192
813.000000	86.147137
814.000000	85.435562
815.000000	84.714853
816.000000	83.983740
817.000000	83.243087
818.000000	82.495746
819.000000	81.738575
820.000000	80.973405
821.000000	80.200430
822.000000	79.420059
823.000000	78.632751
824.000000	77.840300
825.000000	77.039980
826.000000	76.233466
827.000000	75.420924
828.000000	74.604321
829.000000	73.782197
830.000000	72.954421
831.000000	72.124019
832.000000	71.288474
833.000000	70.448929
834.000000	69.606746
835.000000	68.760577
836.000000	67.911314
837.000000	67.060882
838.000000	66.205943
839.000000	65.350097
840.000000	64.494016
841.000000	63.635335
842.000000	62.776499
843.000000	61.916057
844.000000	61.056084
845.000000	60.195355
846.000000	59.335441
847.000000	58.477046
848.000000	57.617490
849.000000	56.760878
850.000000	55.904320
851.000000	55.052816
852.000000	54.199566
853.000000	53.351730
854.000000	52.505364
855.000000	51.662600
856.000000	50.823199
857.000000	49.988859
858.000000	49.156279
859.000000	48.328985
860.000000	47.507656
861.000000	46.689160
862.000000	45.879013
863.000000	45.072278
864.000000	44.272277
865.000000	43.479096
866.000000	42.691826
867.000000	41.910734
868.000000	41.137589
869.000000	40.372683
870.000000	39.614307
871.000000	38.865966
872.000000	38.123123
873.000000	37.392838
874.000000	36.668085
875.000000	35.954570
876.000000	35.248948
877.000000	34.554561
878.000000	33.869063
879.000000	33.193432
880.000000	32.530797
881.000000	31.877495
882.000000	31.236036
883.000000	30.605048
884.000000	29.986621
885.000000	29.378796
886.000000	28.784264
887.000000	28.201295
888.000000	27.631043
889.000000	27.079092
890.000000	26.534167
891.000000	26.003521
892.000000	25.485746
893.000000	24.982526
894.000000	24.492110
895.000000	24.016481
896.000000	23.555664
897.000000	23.107546
898.000000	22.674885
899.000000	22.257659
900.000000	21.855186
901.000000	21.461651
902.000000	21.079125
903.000000	20.721022
904.000000	20.382611
905.000000	20.050016
906.000000	19.745524
907.000000	19.454400
908.000000	19.173155
909.000000	18.916578
910.000000	18.667718
911.000000	18.443338
912.000000	18.231046
913.000000	18.037086
914.000000	17.857804
915.000000	17.698560
916.000000	17.551131
917.000000	17.425207
918.000000	17.316037
919.000000	17.218888
920.000000	17.144538
921.000000	17.082810
922.000000	17.041642
923.000000	17.016163
924.000000	17.006754
925.000000	17.006754
926.000000	17.006754
927.000000	17.006754
928.000000	17.006754
929.000000	17.006754
930.000000	17.006754
931.000000	17.006754
932.000000	17.006754
933.000000	17.006754
934.000000	17.006754
935.000000	17.006754
936.000000	17.006754
937.000000	17.006754
938.000000	17.006754
939.000000	17.006754
940.000000	17.006754
941.000000	17.006754
942.000000	17.006754
943.000000	17.006754
944.000000	17.006754
945.000000	17.006754
946.000000	17.006754
947.000000	17.006754
948.000000	17.006754
949.000000	17.006754
950.000000	17.006754
951.000000	17.006754
952.000000	17.006754
953.000000	17.006754
954.000000	17.006754
955.000000	17.006754
956.000000	17.006754
957.000000	17.006754
958.000000	17.006754
959.000000	17.006754
960.000000	17.006754
961.000000	17.006754
962.000000	17.006754
963.000000	17.006754
964.000000	17.006754
965.000000	17.006754
966.000000	17.006754
967.000000	17.006754
968.000000	17.006754
969.000000	17.006754
970.000000	17.006754
971.000000	17.006754
972.000000	17.006754
973.000000	17.006754
974.000000	17.006754
975.000000	17.006754
976.000000	17.006754
977.000000	17.006754
978.000000	17.006754
979.000000	17.006754
980.000000	17.006754
981.000000	17.006754
982.000000	17.006754
983.000000	17.006754
984.000000	17.006754
985.000000	17.006754
986.000000	17.006754
987.000000	17.006754
988.000000	17.006754
989.000000	17.006754
990.000000	17.006754
991.000000	17.006754
992.000000	17.006754
993.000000	17.006754
994.000000	17.006754
995.000000	17.006754
996.000000	17.006754
997.000000	17.006754
998.000000	17.006754
999.000000	17.006754
