t	P
24.500000	-1663
24.600000	-1663
24.700000	-1663
24.800000	-1663
24.900000	-1663
25.000000	-1663
25.100000	-1663
25.200000	-1663
25.300000	-1663
25.400000	-1663
25.500000	-1663
25.600000	-1663
25.700000	-1663
25.800000	-1663
25.900000	-1663
26.000000	-1663
26.100000	-1663
26.200000	-1663
26.300000	-1663
26.400000	-1663
26.500000	-1663
26.600000	-1663
26.700000	-1663
26.800000	-1663
26.900000	-1663
27.000000	-1663
27.100000	-1663
27.200000	-1663
27.300000	-1663
27.400000	-1663
27.500000	-1663
27.600000	-1663
27.700000	-1663
27.800000	-1663
27.900000	-1663
28.000000	-1663
28.100000	-1663
28.200000	-1663
28.300000	-1663
28.400000	-1663
28.500000	-1663
28.600000	-1663
28.700000	-1663
28.800000	-1663
28.900000	-1663
29.000000	-1663
29.100000	-1663
29.200000	-1663
29.300000	-1663
29.400000	-1663
29.500000	-1663
29.600000	-1663
29.700000	-1663
29.800000	-1663
29.900000	-1663
30.000000	-1663
30.100000	-1663
30.200000	-1663
30.300000	-1663
30.400000	-1663
30.500000	-1663
30.600000	-1663
30.700000	-1663
30.800000	-1663
30.900000	-1628
31.000000	-1540
31.100000	-1452
31.200000	-1408
31.300000	-1408
31.400000	-1408
31.500000	-1408
31.600000	-1408
31.700000	-1408
31.800000	-1408
31.900000	-1408
32.000000	-1408
32.100000	-1408
32.200000	-1408
32.300000	-1408
32.400000	-1408
32.500000	-1408
32.600000	-1408
32.700000	-1408
32.800000	-1408
32.900000	-1408
33.000000	-1408
33.100000	-1408
33.200000	-1408
33.300000	-1408
33.400000	-1408
33.500000	-1408
33.600000	-1408
33.700000	-1408
33.800000	-1408
33.900000	-1408
34.000000	-1408
34.100000	-1408
34.200000	-1408
34.300000	-1408
34.400000	-1408
34.500000	-1408
34.600000	-1408
34.700000	-1408
34.800000	-1408
34.900000	-1408
35.000000	-1408
35.100000	-1408
35.200000	-1408
35.300000	-1408
35.400000	-1408
35.500000	-1408
35.600000	-1408
35.700000	-1408
35.800000	-1408
35.900000	-1408
36.000000	-1408
36.100000	-1408
36.200000	-1408
36.300000	-1408
36.400000	-1408
36.500000	-1408
36.600000	-1408
36.700000	-1408
36.800000	-1408
36.900000	-1408
37.000000	-1408
37.100000	-1408
37.200000	-1408
37.300000	-1408
37.400000	-1408
37.500000	-1408
37.600000	-1408
37.700000	-1408
37.800000	-1408
37.900000	-1408
38.000000	-1408
38.100000	-1408
38.200000	-1408
38.300000	-1408
38.400000	-1408
38.500000	-1408
38.600000	-1408
38.700000	-1408
38.800000	-1408
38.900000	-1408
39.000000	-1408
39.100000	-1408
39.200000	-1408
39.300000	-1408
39.400000	-1408
39.500000	-1408
39.600000	-1408
39.700000	-1408
39.800000	-1408
39.900000	-1408
40.000000	-1408
40.100000	-1408
40.200000	-1408
40.300000	-1408
40.400000	-1408
40.500000	-1408
40.600000	-1408
40.700000	-1408
40.800000	-1408
40.900000	-1408
41.000000	-1408
41.100000	-1408
41.200000	-1365
41.300000	-1277
41.400000	-1189
41.500000	-1154
41.600000	-1154
41.700000	-1154
41.800000	-1154
41.900000	-1154
42.000000	-1154
42.100000	-1154
42.200000	-1154
42.300000	-1154
42.400000	-1154
42.500000	-1154
42.600000	-1154
42.700000	-1154
42.800000	-1154
42.900000	-1154
43.000000	-1154
43.100000	-1154
43.200000	-1154
43.300000	-1154
43.400000	-1154
43.500000	-1154
43.600000	-1154
43.700000	-1154
43.800000	-1154
43.900000	-1154
44.000000	-1154
44.100000	-1154
44.200000	-1154
44.300000	-1154
44.400000	-1154
44.500000	-1154
44.600000	-1154
44.700000	-1154
44.800000	-1154
44.900000	-1154
45.000000	-1154
45.100000	-1154
45.200000	-1154
45.300000	-1154
45.400000	-1154
45.500000	-1154
45.600000	-1154
45.700000	-1154
45.800000	-1154
45.900000	-1154
46.000000	-1154
46.100000	-1154
46.200000	-1154
46.300000	-1154
46.400000	-1154
46.500000	-1154
46.600000	-1154
46.700000	-1154
46.800000	-1154
46.900000	-1154
47.000000	-1154
47.100000	-1154
47.200000	-1154
47.300000	-1154
47.400000	-1154
47.500000	-1154
47.600000	-1154
47.700000	-1154
47.800000	-1154
47.900000	-1154
48.000000	-1154
48.100000	-1154
48.200000	-1154
48.300000	-1154
48.400000	-1154
48.500000	-1154
48.600000	-1154
48.700000	-1154
48.800000	-1154
48.900000	-1154
49.000000	-1154
49.100000	-1154
49.200000	-1154
49.300000	-1154
49.400000	-1154
49.500000	-1154
49.600000	-1154
49.700000	-1154
49.800000	-1154
49.900000	-1154
50.000000	-1154
50.100000	-1154
50.200000	-1154
50.300000	-1154
50.400000	-1154
50.500000	-1154
50.600000	-1154
50.700000	-1154
50.800000	-1154
50.900000	-1154
51.000000	-1154
51.100000	-1154
51.200000	-1154
51.300000	-1154
51.400000	-1154
51.500000	-1102
51.600000	-1014
51.700000	-927
51.800000	-909
51.900000	-909
52.000000	-909
52.100000	-909
52.200000	-909
52.300000	-909
52.400000	-909
52.500000	-909
52.600000	-909
52.700000	-909
52.800000	-909
52.900000	-909
53.000000	-909
53.100000	-909
53.200000	-909
53.300000	-909
53.400000	-909
53.500000	-909
53.600000	-909
53.700000	-909
53.800000	-909
53.900000	-909
54.000000	-909
54.100000	-909
54.200000	-909
54.300000	-909
54.400000	-909
54.500000	-909
54.600000	-909
54.700000	-909
54.800000	-909
54.900000	-909
55.000000	-909
55.100000	-909
55.200000	-909
55.300000	-909
55.400000	-909
55.500000	-909
55.600000	-909
55.700000	-909
55.800000	-909
55.900000	-909
56.000000	-909
56.100000	-909
56.200000	-909
56.300000	-909
56.400000	-909
56.500000	-909
56.600000	-909
56.700000	-909
56.800000	-909
56.900000	-909
57.000000	-909
57.100000	-909
57.200000	-909
57.300000	-909
57.400000	-909
57.500000	-909
57.600000	-909
57.700000	-909
57.800000	-909
57.900000	-909
58.000000	-909
58.100000	-909
58.200000	-909
58.300000	-909
58.400000	-909
58.500000	-909
58.600000	-909
58.700000	-909
58.800000	-909
58.900000	-909
59.000000	-909
59.100000	-909
59.200000	-909
59.300000	-909
59.400000	-909
59.500000	-909
59.600000	-909
59.700000	-909
59.800000	-909
59.900000	-909
60.000000	-909
60.100000	-909
60.200000	-909
60.300000	-909
60.400000	-909
60.500000	-909
60.600000	-909
60.700000	-909
60.800000	-909
60.900000	-909
61.000000	-909
61.100000	-909
61.200000	-909
61.300000	-909
61.400000	-909
61.500000	-909
61.600000	-909
61.700000	-909
61.800000	-839
61.900000	-752
62.000000	-665
62.100000	-656
62.200000	-656
62.300000	-656
62.400000	-656
62.500000	-656
62.600000	-656
62.700000	-656
62.800000	-656
62.900000	-656
63.000000	-656
63.100000	-656
63.200000	-656
63.300000	-656
63.400000	-656
63.500000	-656
63.600000	-656
63.700000	-656
63.800000	-656
63.900000	-656
64.000000	-656
64.100000	-656
64.200000	-656
64.300000	-656
64.400000	-656
64.500000	-656
64.600000	-656
64.700000	-656
64.800000	-656
64.900000	-656
65.000000	-656
65.100000	-656
65.200000	-656
65.300000	-656
65.400000	-656
65.500000	-656
65.600000	-656
65.700000	-656
65.800000	-656
65.900000	-656
66.000000	-656
66.100000	-656
66.200000	-656
66.300000	-656
66.400000	-656
66.500000	-656
66.600000	-656
66.700000	-656
66.800000	-656
66.900000	-656
67.000000	-656
67.100000	-656
67.200000	-656
67.300000	-656
67.400000	-656
67.500000	-656
67.600000	-656
67.700000	-656
67.800000	-656
67.900000	-656
68.000000	-656
68.100000	-656
68.200000	-656
68.300000	-656
68.400000	-656
68.500000	-656
68.600000	-656
68.700000	-656
68.800000	-656
68.900000	-656
69.000000	-656
69.100000	-656
69.200000	-656
69.300000	-656
69.400000	-656
69.500000	-656
69.600000	-656
69.700000	-656
69.800000	-656
69.900000	-656
70.000000	-656
70.100000	-656
70.200000	-656
70.300000	-656
70.400000	-656
70.500000	-656
70.600000	-656
70.700000	-656
70.800000	-656
70.900000	-656
71.000000	-656
71.100000	-656
71.200000	-656
71.300000	-656
71.400000	-656
71.500000	-656
71.600000	-656
71.700000	-656
71.800000	-656
71.900000	-656
72.000000	-656
72.100000	-578
72.200000	-490
72.300000	-403
72.400000	-403
72.500000	-403
72.600000	-403
72.700000	-403
72.800000	-403
72.900000	-403
73.000000	-403
73.100000	-403
73.200000	-403
73.300000	-403
73.400000	-403
73.500000	-403
73.600000	-403
73.700000	-403
73.800000	-403
73.900000	-403
74.000000	-403
74.100000	-403
74.200000	-403
74.300000	-403
74.400000	-403
74.500000	-403
74.600000	-403
74.700000	-403
74.800000	-403
74.900000	-403
75.000000	-403
75.100000	-403
75.200000	-403
75.300000	-403
75.400000	-403
75.500000	-403
75.600000	-403
75.700000	-403
75.800000	-403
75.900000	-403
76.000000	-403
76.100000	-403
76.200000	-403
76.300000	-403
76.400000	-403
76.500000	-403
76.600000	-403
76.700000	-403
76.800000	-403
76.900000	-403
77.000000	-403
77.100000	-403
77.200000	-403
77.300000	-403
77.400000	-403
77.500000	-403
77.600000	-403
77.700000	-403
77.800000	-403
77.900000	-403
78.000000	-403
78.100000	-403
78.200000	-403
78.300000	-403
78.400000	-403
78.500000	-403
78.600000	-403
78.700000	-403
78.800000	-403
78.900000	-403
79.000000	-403
79.100000	-403
79.200000	-403
79.300000	-403
79.400000	-403
79.500000	-403
79.600000	-403
79.700000	-403
79.800000	-403
79.900000	-403
80.000000	-403
80.100000	-403
80.200000	-403
80.300000	-403
80.400000	-403
80.500000	-403
80.600000	-403
80.700000	-403
80.800000	-403
80.900000	-403
81.000000	-403
81.100000	-403
81.200000	-403
81.300000	-403
81.400000	-403
81.500000	-403
81.600000	-403
81.700000	-403
81.800000	-403
81.900000	-403
82.000000	-403
82.100000	-403
82.200000	-403
82.300000	-403
82.400000	-316
82.500000	-229
82.600000	-150
82.700000	-150
82.800000	-150
82.900000	-150
83.000000	-150
83.100000	-150
83.200000	-150
83.300000	-150
83.400000	-150
83.500000	-150
83.600000	-150
83.700000	-150
83.800000	-150
83.900000	-150
84.000000	-150
84.100000	-150
84.200000	-150
84.300000	-150
84.400000	-150
84.500000	-150
84.600000	-150
84.700000	-150
84.800000	-150
84.900000	-150
85.000000	-150
85.100000	-150
85.200000	-150
85.300000	-150
85.400000	-150
85.500000	-150
85.600000	-150
85.700000	-150
85.800000	-150
85.900000	-150
86.000000	-150
86.100000	-150
86.200000	-150
86.300000	-150
86.400000	-150
86.500000	-150
86.600000	-150
86.700000	-150
86.800000	-150
86.900000	-150
87.000000	-150
87.100000	-150
87.200000	-150
87.300000	-150
87.400000	-150
87.500000	-150
87.600000	-150
87.700000	-150
87.800000	-150
87.900000	-150
88.000000	-150
88.100000	-150
88.200000	-150
88.300000	-150
88.400000	-150
88.500000	-150
88.600000	-150
88.700000	-150
88.800000	-150
88.900000	-150
89.000000	-150
89.100000	-150
89.200000	-150
89.300000	-150
89.400000	-150
89.500000	-150
89.600000	-150
89.700000	-150
89.800000	-150
89.900000	-150
90.000000	-150
90.100000	-150
90.200000	-150
90.300000	-150
90.400000	-150
90.500000	-150
90.600000	-150
90.700000	-150
90.800000	-150
90.900000	-150
91.000000	-150
91.100000	-150
91.200000	-150
91.300000	-150
91.400000	-150
91.500000	-150
91.600000	-150
91.700000	-150
91.800000	-150
91.900000	-150
92.000000	-150
92.100000	-150
92.200000	-150
92.300000	-150
92.400000	-150
92.500000	-150
92.600000	-142
92.700000	-55
92.800000	32
92.900000	102
93.000000	102
93.100000	102
93.200000	102
93.300000	102
93.400000	102
93.500000	102
93.600000	102
93.700000	102
93.800000	102
93.900000	102
94.000000	102
94.100000	102
94.200000	102
94.300000	102
94.400000	102
94.500000	102
94.600000	102
94.700000	102
94.800000	102
94.900000	102
95.000000	102
95.100000	102
95.200000	102
95.300000	102
95.400000	102
95.500000	102
95.600000	102
95.700000	102
95.800000	102
95.900000	102
96.000000	102
96.100000	102
96.200000	102
96.300000	102
96.400000	102
96.500000	102
96.600000	102
96.700000	102
96.800000	102
96.900000	102
97.000000	102
97.100000	102
97.200000	102
97.300000	102
97.400000	102
97.500000	102
97.600000	102
97.700000	102
97.800000	102
97.900000	102
98.000000	102
98.100000	102
98.200000	102
98.300000	102
98.400000	102
98.500000	102
98.600000	102
98.700000	102
98.800000	102
98.900000	102
99.000000	102
99.100000	102
99.200000	102
99.300000	102
99.400000	102
99.500000	102
99.600000	102
99.700000	102
99.800000	102
99.900000	102
